species,clade,subclade
abietaniphila,lutea,
aeruginosa,aeruginosa,
aestusnigri,pertucinogena,
agarici,fluorescens,4
alcaligenes,NA,
alcaliphila,oleovorans,
amygdali,syringae,
anguilliseptica,anguilliseptica,
antarctica,fluorescens,1
argentinensis,straminea,
arsenicoxydans,fluorescens,2
asplenii,fluorescens,4
asturiensis,syringae,
avellanae,syringae,
azotifigens,stutzeri,
azotoformans,fluorescens,1
baetica,fluorescens,2
balearica,stutzeri,
batumici,fluorescens,
bauzanensis,pertucinogena,
benzenivorans,anguilliseptica,
borbori,anguilliseptica,
brassicacearum,fluorescens,2
brenneri,fluorescens,1
caeni,NA,
cannabina,syringae,
capeferrum,putida,
caricapapayae,syringae,
cedrina,fluorescens,1
chengduensis,oleovorans,
chloritidismutans,stutzeri,
chlororaphis subsp. aurantiaca,fluorescens,3
chlororaphis subsp. aureofaciens,fluorescens,3
chlororaphis subsp. chlororaphis,fluorescens,3
chlororaphis subsp. piscium,fluorescens,3
chlororaphis,fluorescens,3
cichorii,syringae,
citronellolis,aeruginosa,
coleopterorum,putida,
composti,oleovorans,
congelans,syringae,
corrugata,fluorescens,2
costantinii,fluorescens,1
cremoricolorata,putida,
cuatrocienegasensis,anguilliseptica,
deceptionensis,fluorescens,5
delhiensis,aeruginosa,
donghuensis,putida,
duriflava,oryzihabitans,
endophytica,fluorescens,5
entomophila,putida,
extremaustralis,fluorescens,1
extremorientalis,fluorescens,1
ficuserectae,syringae,
flavescens,straminea,
flexibilis,NA,
fluorescens,fluorescens,1
formosensis,pertucinogena,
fragi,fluorescens,5
frederiksbergensis,fluorescens,2
fulva,putida,
fuscovaginae,fluorescens,4
gessardii,fluorescens,1
graminis,lutea,
granadensis,fluorescens,2
grimontii,fluorescens,1
guangdongensis,linyingensis,
guariconensis,putida,
guguanensis,oleovorans,
guineae,anguilliseptica,
helleri,fluorescens,5
helmanticensis,fluorescens,2
hussainii,NA,
indica,NA,
japonica,putida,
jessenii,fluorescens,2
jinjuensis,aeruginosa,
kilonensis,fluorescens,2
knackmussii,aeruginosa,
koreensis,fluorescens,2
kunmingensis,stutzeri,
kuykendallii,NA,
libanensis,fluorescens,1
lini,fluorescens,2
linyingensis,linyingensis,
litoralis,pertucinogena,
lundensis,fluorescens,5
lurida,fluorescens,1
luteola,oryzihabitans,
mandelii,fluorescens,2
marginalis,fluorescens,1
marincola,anguilliseptica,
mediterranea,fluorescens,2
meliae,syringae,
mendocina,oleovorans,
migulae,fluorescens,2
mohnii,fluorescens,2
monteilii,putida,
moorei,fluorescens,2
moraviensis,fluorescens,2
mosselii,putida,
mucidolens,fluorescens,1
nitroreducens,aeruginosa,
oleovorans,oleovorans,
orientalis,fluorescens,1
oryzae,linyingensis,
oryzihabitans,oryzihabitans,
otitidis,resinovorans,
pachastrellae,pertucinogena,
palleroniana,fluorescens,1
panipatensis,aeruginosa,
parafulva,putida,
pelagia,pertucinogena,
peli,anguilliseptica,
pertucinogena,pertucinogena,
plecoglossicida,putida,
poae,fluorescens,1
pohangensis,NA,
prosekii,fluorescens,2
protegens,fluorescens,3
proteolytica,fluorescens,1
pseudoalcaligenes,oleovorans,
psychrophila,fluorescens,5
psychrotolerans,oryzihabitans,
punonensis,straminea,
putida,putida,
reinekei,fluorescens,2
resinovorans,resinovorans,
rhizosphaerae,putida,
rhodesiae,fluorescens,1
sabulinigri,pertucinogena,
sagittaria,linyingensis,
salegens,pertucinogena,
salomonii,fluorescens,1
saponiphila,fluorescens,3
savastanoi,syringae,
segetis,anguilliseptica,
seleniipraecipitans,straminea,
sihuiensis,oleovorans,
simiae,fluorescens,1
soli,putida,
straminea,straminea,
stutzeri,stutzeri,
synxantha,fluorescens,1
syringae,syringae,
taeanensis,anguilliseptica,
taetrolens,fluorescens,5
taiwanensis,putida,
thermotolerans,NA,
thivervalensis,fluorescens,2
tolaasii,fluorescens,1
toyotomiensis,oleovorans,
tremae,syringae,
trivialis,fluorescens,1
umsongensis,fluorescens,2
vancouverensis,fluorescens,2
veronii,fluorescens,
viridiflava,syringae,
vranovensis,putida,
weihenstephanensis,fluorescens,5
xanthomarina,stutzeri,
xiamenensis,pertucinogena,
xinjiangensis,pertucinogena,
yamanorum,fluorescens,1
yangmingensis,pertucinogena,
zeshuii,oryzihabitans,
sp,sp,
abyssi,pertucinogena,
alkylphenolica,putida,
panacis,fluorescens,1
cjaponicus,NA,
lutea,lutea,
alcaliphila_group,oleovorans,
amygdali_group,syringae,
asplenii_group,fluorescens,4
brassicacearum_group,fluorescens,2
chloritidismutans_group,stutzeri,
citronellolis_group,aeruginosa,
synxantha_group,fluorescens,1
luteola_group,oryzihabitans,
oleovorans_group,oleovorans,
oryzihabitans_group,oryzihabitans,